X;PMPT;PNBDT;PTDIT3
San Pedro De Huancayre;1363;51,3;253
Sangallaya;913;81,4;610
Santa Cruz De Cocachacra;1813;28,5;2.467
Santa Eulalia;1785;35,8;11.599
Santiago De Anchucaya;1344;77,0;543
Santiago De Tuna;728;89,2;721
Santo Domingo De Los Olleros;1679;43,9;4.216
Surco;1633;39,8;1.936
Huacho;1871;11,8;58.252
Ambar;954;76,1;2.785
Caleta De Carquín;1784;17,7;6.670
Checras;979;72,8;1.716
Hualmay;1777;10,6;28.380
Huaura;1576;23,5;34.561
Leoncio Prado;1109;75,9;2.007
Paccho;1027;82,7;2.187
Santa Leonor;1417;70,2;1.486
Santa María;1724;20,8;32.174
Sayán;1632;38,6;23.740
Vegueta;1482;34,2;21.180
Oyón;1631;44,7;14.141
Andajes;1218;65,5;1.053
Caujul;1279;68,4;1.013
Cochamarca;1502;93,3;1.593
Navan;1214;76,1;1.170
Pachangara;1503;46,4;3.434
Yauyos;1351;61,8;2.763
Alis;1540;46,5;1.302
Allauca;1211;84,2;2.097
Ayaviri;1273;41,4;714
Azángaro;341;66,8;556
Cacra;1318;65,9;447
Carania;1271;91,0;361
Catahuasi;1264;59,7;999
Chocos;583;71,0;1.172
Cochas;1357;71,3;386
Colonia;884;86,2;1.362
Hongos;885;88,1;410
Huampara;1518;64,0;206
Huancaya;1236;98,8;1.250
Huangascar;873;66,7;602
Huantan;804;94,3;953
Huañec;1386;58,3;488
Laraos;1635;50,4;823
Lincha;639;98,2;885
Madean;790;90,0;824
Miraflores;1059;66,1;455
Omas;1455;48,7;604
Putinza;1308;80,3;479
Quinches;992;71,3;1.011
Quinocay;1543;60,6;563
San Joaquín;1575;47,2;402
San Pedro De Pilas;1358;66,4;390
Tanta;1176;28,6;512
Tauripampa;1087;97,2;466
Tomás;1541;92,4;1.124
Tupe;532;96,8;659
Viñac;706;71,1;1.842
Vitis;934;100,0;607
Iquitos;1036;27,9;156.113
Iquitos;1324;27,9;156.113
Iquitos;1854;27,9;156.113
Alto Nanay;834;88,5;2.793
Fernando Lores;533;81,1;20.373
Indiana;578;68,3;11.783
Las Amazonas;340;72,5;10.219
Mazan;713;86,7;13.897
Napo;571;90,1;16.258
Punchana;1462;45,6;88.947
Belén;1212;62,2;75.435
San Juan Bautista;1191;60,8;142.288
San Juan Bautista;1754;60,8;142.288
Yurimaguas;844;59,3;71.146
Balsapuerto;150;97,7;16.754
Jeberos;400;81,4;5.067
Lagunas;42;93,2;14.309
Santa Cruz;354;87,1;4.435
